method,train_names,fit_loss,L0,A,alpha,C,B,beta,gamma
one_power,M:100M_gpt_D:20B_scheduler:cosine_rope,0.0005052508774221273,1.948982888743168,1.7087307586937488,0.2839919557220483,,,,
single,M:100M_gpt_D:20B_scheduler:cosine_rope,8.048109779442594e-05,2.781394997073531,1.1248479124939006,1.0347021626709787,0.18462513999193075,,,
mpl,M:100M_gpt_D:20B_scheduler:cosine_rope,8.171953499584356e-05,2.7842384011482726,1.1227116987262258,1.0399016317053942,0.6341251943981454,299.3253004742426,0.30533165887389385,0.3142523792288112
