method,source_key,curve,n,step_start,step_end,mae,rmse,mape,worst_ape,r2,final_true,final_pred,final_error,final_abs_error,final_rel_error
mpl,M:100M_gpt_D:20B_scheduler:cosine_rope,cosine,331,1000,33907,0.005261211128922449,0.006607323962215822,0.0018522616699783725,0.007899731955299387,0.9987733134347365,2.667282247543335,2.6689699365196344,0.0016876889762995617,0.0016876889762995617,0.0006327373032433989
one_power,M:100M_gpt_D:20B_scheduler:cosine_rope,cosine,331,1000,33907,0.023103289097065882,0.03217006785847227,0.00791077965273451,0.06346351398778252,0.970920538452279,2.667282247543335,2.693397754706232,0.026115507162897345,0.026115507162897345,0.00979105499125587
single,M:100M_gpt_D:20B_scheduler:cosine_rope,cosine,331,1000,33907,0.005167818388561151,0.0064772768398878525,0.001819368627757548,0.007599283759182314,0.9988211261745221,2.667282247543335,2.670430640139687,0.0031483925963522452,0.0031483925963522452,0.0011803747425875274
mpl,M:100M_gpt_D:20B_scheduler:wsd_rope,wsd,331,1000,33907,0.027191071587689287,0.03067373677133484,0.009735839232151274,0.020360378328487274,0.9695731980298414,2.658173666000366,2.6915749759018492,0.033401309901483156,0.033401309901483156,0.012565510797396696
one_power,M:100M_gpt_D:20B_scheduler:wsd_rope,wsd,331,1000,33907,0.08525414892382957,0.09642024517886127,0.030239096771139926,0.059349399517415656,0.6993512529703604,2.658173666000366,2.6007677837637497,-0.05740588223661636,0.05740588223661636,0.021595986361189257
single,M:100M_gpt_D:20B_scheduler:wsd_rope,wsd,331,1000,33907,0.022934548371010846,0.027017794757275,0.008168385818746954,0.02076879207345446,0.9763939821221963,2.658173666000366,2.6581840707764552,1.0404776089156798e-05,1.0404776089156798e-05,3.914257455124215e-06
