source_key,label,n_steps,start_step,end_step,loss_start,loss_end,lr_start,lr_end,lr_min,lr_max
M:100M_gpt_D:20B_scheduler:811_rope,811,33908,0,33907,10.403170585632324,2.6638811206817627,0.001,9.999999999999999e-05,9.999999999999999e-05,0.001
M:100M_gpt_D:20B_scheduler:wsd_rope,wsd,33908,0,33907,10.40317153930664,2.658173666000366,0.001,0.0001,0.0001,0.001
M:100M_gpt_D:20B_scheduler:cosine_rope,cosine,33908,0,33907,10.40317153930664,2.667282247543335,0.001,9.999999999999999e-05,9.999999999999999e-05,0.001
